what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1372110735095
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372110743054
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372110750961
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372110766672
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1372110769099
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1372110769155
activated,view,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.ui.jpaDetailsView",1372110770457
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1372110770518
activated,view,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.ui.jpaStructureView",1372110773170
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1372110773215
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372110788516
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111205259
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1372111254050
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111256304
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111259569
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1372111261508
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111265117
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111272522
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111276561
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1372111284394
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111285234
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1372111285773
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372111285956
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372111286182
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111290373
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111296531
started,bundle,org.jboss.tools.cdi.deltaspike.core,1.2.0.v20130102-1842-H87-Final,"org.jboss.tools.cdi.deltaspike.core",1372111298540
started,bundle,org.jboss.tools.seam.text.ext,3.3.0.v20130112-0336-H148-Final,"org.jboss.tools.seam.text.ext",1372111298625
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1372111298697
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372111304176
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111308419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111325396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111326321
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111354499
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1372111356066
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111358773
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111366191
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372111375025
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1372111376105
started,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1372111378144
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111378931
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.quickAccess",1372111378962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111388075
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111391442
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111397871
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372111398424
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372111398590
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111400258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111402550
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1372111404579
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372111405546
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1372111426463
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1372111427017
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372111434532
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111449575
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111458633
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111460974
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111502870
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1372111504465
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1372111506294
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372111507766
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372111507894
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1372111513266
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1372111513413
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1372111513565
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1372111513723
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1372111513887
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1372111514777
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111524672
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111525940
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372111529955
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1372111532086
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372111532291
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111550014
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111555651
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1372111558504
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372111561302
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1372111568827
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372111570330
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1372111571307
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.indent",1372111572256
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372111573261
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1372111581827
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1372111584075
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1372111584310
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1372111585456
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1372111586503
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1372111587742
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372111588868
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1372111591936
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372111592148
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372111600513
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372111601552
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1372111609088
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1372111609751
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1372111609958
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1372111610179
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372111611226
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1372111615112
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1372111619220
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372111620000
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111623862
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111636008
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1372111640788
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111649870
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111652985
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111655793
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111658876
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111659809
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111694120
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1372111696658
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111702510
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111707737
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372111708357
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372111708475
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111709539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111711422
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1372111713933
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111715400
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111716174
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1372111716185
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372111716255
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111719244
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111724488
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372111724961
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372111725077
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111725400
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111728436
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111730563
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111732330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111735839
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111737801
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111738275
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372111739864
started,bundle,org.jboss.tools.ws.jaxrs.core,1.3.1.v20130112-0330-H156-Final,"org.jboss.tools.ws.jaxrs.core",1372111745284
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1372111745346
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1372111745478
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1372111745857
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1372111745896
started,bundle,org.jboss.tools.common.el.ui,3.3.1.v20130102-1651-H83-Final,"org.jboss.tools.common.el.ui",1372111745958
